*
王後,王后
皇後,皇后
后天,後天
后座,後座
母後,母后
太後,太后
天後,天后
後冠,后冠
後土,后土
後羿,后羿
影後,影后
頭發,頭髮
洗發,洗髮
發絲,髮絲
發根,髮根
秀發,秀髮
白發,白髮
黒發,黒髮
銀發,銀髮
短發,短髮
長發,長髮
卷發,鬈髮
鬈發,鬈髮
發卷,髮捲
金發,金髮
鬢發,鬢髮
毫發,毫髮
發膠,髮膠
牽一發,牽一髮
皓發,皓髮
披發,披髮
毛發,毛髮
理發,理髮
蓬發,蓬髮
華發,華髮
發型,髮型
發式,髮式
令人發指,令人髮指
心髒,心臟
五髒,五臟
內髒,內臟
髮毛,發毛
毛姜,毛薑
乾姜,乾薑
姜母鴨,薑母鴨
姜湯,薑湯
姜黃,薑黃
野姜花,野薑花
姜是老的辣,薑是老的辣
姜還是老的辣,薑還是老的辣
吃姜,吃薑
生姜,生薑
姜片,薑片
姜絲,薑絲
餅幹,餅乾
不幹不淨,不乾不淨
未幹,未乾
幹脆,乾脆
幹草,乾草
幹澀,乾澀
葡萄幹,葡萄乾
幹淨,乾淨
豆腐幹,豆腐乾
豆幹,豆乾
流幹,流乾
幹坤,乾坤
幹瘦,乾瘦
天幹物燥,天乾物燥
擰幹,擰乾
幹柴,乾柴
龍眼幹,龍眼乾
幹巴巴,乾巴巴
幹杯,乾杯
幹癟,乾癟
幹冰,乾冰
幹麵,乾麵
幹飯,乾飯
幹粉,乾粉
幹等,乾等
幹瞪眼,乾瞪眼
幹爹,乾爹
幹電池,乾電池
幹娘,乾娘
幹女兒,乾女兒
幹糧,乾糧
幹幹淨淨,乾乾淨淨
幹枯,乾枯
幹笑,乾笑
幹果,乾果
幹股,乾股
幹涸,乾涸
幹號,乾號
幹旱,乾旱
幹耗,乾耗
幹親家,乾親家
幹爽,乾爽
幹燥,乾燥
幹熱,乾熱
幹溼,乾溼
一幹人,一干人
泡面,泡麵
面包,麵包
面餅,麵餅
面店,麵店
畫麵,畫面
面條,麵條
千層面,千層麵
面團,麵團
面疙瘩,麵疙瘩
面館,麵館
面糊,麵糊
面筋,麵筋
面線,麵線
面茶,麵茶
面食,麵食
通心面,通心麵
涼面,涼麵
捏面,捏麵
拉面,拉麵
炒面,炒麵
煮面,煮麵
吃面,吃麵
乾面,乾麵
面粉,麵粉
和面,和麵
碗面,碗麵
麥面,麥麵
壽面,壽麵
甜面,甜麵
陽春面,陽春麵
烏龍面,烏龍麵
擔擔面,擔擔麵
擔仔面,擔仔麵
大滷面,大滷麵
刀削面,刀削麵
捏面人,捏麵人
假麵,假面
麵兒,面兒
仰麵,仰面
陰麵,陰面
人麵,人面
一麵,一面
四麵,四面
方麵,方面
正麵,正面
反麵反面
出麵,出面
場麵,場面
面湯,麵湯
麵臨,面臨
麵容,面容
麵前,面前
麵子,面子
面包,麵包
裏麵,裡面
裡麵,裡面
麵積,面積
麵對,面對
對麵,對面
外麵,外面
層麵,層面
面懷,緬懷
東麵,東面
西麵,西面
南麵,南面
北麵,北面
下麵,下面
上麵,上面
貼麵,貼面
會麵,會面
掩麵,掩面
麵料,面料
麵麵俱到,面面俱到
牛肉面,牛肉麵
前麵,前面
後麵,後面
八麵,八面
薄麵,薄面
白麵,白面
門麵,門面
背麵,背面
版麵,版面
半麵,半面
場麵,場面
見麵,見面
表麵,表面
看佛麵,看佛面
世麵,世面
顏麵,顏面
麵目,面目
局麵,局面
露麵,露面
片麵,片面
垢麵,垢面
碰麵,碰面
平麵,平面
體麵,體面
沒麵目,沒面目
謀麵,謀面
滿麵,滿面
蒙麵,蒙面
麵板,面板
麵壁,面壁
麵不改色,面不改色
麵孔,面孔
麵皰,面皰
麵面,面面
麵麵,面面
麵談,面談
麵會,面會
麵黃,面黃
麵紅,面紅
麵積,面積
麵交,面交
麵具,面具
麵牆,面牆
麵洽,面洽
麵相,面相
麵市,面市
麵善,面善
麵紗,面紗
麵生,面生
麵色,面色
麵霜,面霜
反麵,反面
粉麵,粉面
照麵,照面
當麵,當面
地麵,地面
水麵,水面
店麵,店面
一麵,一面
麵朝,面朝
斷麵,斷面
檯麵,檯面
鐵麵,鐵面
曆史,歷史
日歷,日曆
經曆,經歷
資曆,資歷
曆曆,歷歷
曆盡,歷盡
遍曆,遍歷
病曆,病歷
閱曆,閱歷
簿曆,簿歷
來曆,來歷
曆險,歷險
曆聲,歷聲
曆遍,歷遍
曆代,歷代
曆年,歷年
曆來,歷來
曆練,歷練
曆劫,歷劫
曆屆,歷屆
曆久,歷久
曆經,歷經
曆下,歷下
曆夏,歷夏
曆險,歷險
曆朝,歷朝
曆城,歷城
曆山,歷山
曆數,歷數
曆日,歷日
曆任,歷任
曆次,歷次
履曆,履歷
簡曆,簡歷
親曆,親歷
曆程,歷程
學曆,學歷
涉曆,涉歷
諳曆,諳歷
弘歷,弘曆
亞曆山,亞歷山
松動,鬆動
松馳,鬆弛
遊歷,遊歷
閱歷,閱歷
鬆樹,松樹
鬆鼠,松鼠
鬆果,松果
鬆本,松本
鬆木,松木
馬拉鬆,馬拉松
蒲鬆齡,蒲松齡
白鬆,白松
巴拉鬆,巴拉松
馬尾鬆,馬尾松
鬆柏,松柏
赤鬆,赤松
鬆林,松林
鬆風,松風
鬆鶴,松鶴
鬆花,松花
鬆竹,松竹
鬆球,松球
鬆香,松香
鬆脂,松脂
武鬆,武松
放松,放鬆
蓬松,蓬鬆
皮松,皮鬆
翻松,翻鬆
弄松,弄鬆
疏松,疏鬆
寬松,寬鬆
松松,鬆鬆
輕松,輕鬆
稀松,稀鬆
松綁,鬆綁
松脫,鬆脫
松開,鬆開
松了一口氣,鬆了一口氣
松了,鬆了
一松,一鬆
松緊,鬆緊
松懈,鬆懈
松弛,鬆弛
松手,鬆手
松軟,鬆軟
松脆,鬆脆
松散,鬆散
魚松,魚鬆
係統,系統
餘華,余華
餘秋雨,余秋雨
倒黴,倒楣
倒霉,倒楣
黴運,霉運
楣運,霉運
發黴,發霉
觸黴頭,觸霉頭
黴雨,霉雨
黴乾菜,霉乾菜
黴氣,,霉氣
黴味,霉味
隻要,只要
隻留,只留
隻給,只給
隻是,只是
隻能,只能
隻得,只得
隻好,只好
隻會,只會
隻怕,只怕
不隻,不只
隻說,只說
豈隻,豈只
隻待,只待
隻可,只可
隻管,只管
隻見,只見
隻欠,只欠
隻當,只當
隻須,只須
隻許,只許
隻知,只知
隻在,只在
隻此,只此
隻有,只有
隻取,只取
隻為,只為
隻不過,只不過
隻剩,只剩
隻愛,只愛
船只,船隻
隻一,只一
安全套,保險套
立馬,馬上
茶幾,茶几
淨幾,淨几
幾淨,几淨
係著,繋著
係完,繋完
蘿卜,蘿蔔
紐扣,鈕扣
穀底,谷底
波穀,波谷
空穀,空谷
滿穀,滿谷
曼穀,曼谷
蒙穀,蒙谷
梵穀,梵谷
峽穀,峽谷
低穀,低谷
峻穀,峻谷
八字胡,八字鬍
函穀,函谷
裂穀,裂谷
鹿穀,鹿谷
河穀,河谷
深穀,深谷
穀地,谷地
穀口,谷口
穀灣,谷灣
鬼穀子,鬼谷子
函穀關,函谷關
山穀,山谷
維穀,維谷
硅穀,硅谷
金穀,金谷
壑穀.壑谷
溪穀,溪谷
谿穀,谿谷
矽穀,矽谷
出穀,出谷
淵穀,淵谷
縱穀,縱谷
幽穀,幽谷
若穀,若谷
雲穀,雲谷
百谷,百穀
包谷,包穀
布谷,布穀
辟谷,辟穀
米谷,米穀
打谷,打穀
稻谷,稻穀
田谷,田穀
脫谷,脫穀
不谷,不穀
谷米,穀米
谷風,穀風
谷類,穀類
谷梁,穀梁
谷貴,穀貴
谷賤,穀賤
谷子,穀子
谷神,穀神
谷倉,穀倉
積谷,積穀
九谷,九穀
晒谷,晒穀
五谷,五穀
臧谷,臧穀
胡子,鬍子
刮胡,刮鬍
藍胡子,藍鬍子
胡須,鬍鬚
根須,根鬚
發須,髮鬚
鬚胡,鬚鬍
胡鬚,鬍鬚
腮胡,腮鬍
紅胡子,紅鬍子
吹胡,吹鬍
痕蹟,痕跡
血蹟,血跡
蹟像,跡像
筆蹟,筆跡
心蹟,心跡
墨蹟,墨跡
泯蹟,泯跡
滅蹟,滅跡
發蹟,發跡
名跡,名蹟
古跡,古蹟
史跡,史蹟
跡蹈,蹟蹈
奇跡,奇蹟
事跡,事蹟
聖跡,聖蹟
遺跡,遺蹟
畝鐘,畝鍾
獨鐘,獨鍾
鼎鐘,鼎鍾
龍鍾鐘,龍鍾
鼓鐘,鼓鍾
漢鐘離,漢鍾離
洪鐘,洪鍾
千鐘,千鍾
鐘馗,鍾馗
所鐘,所鍾
鐘釜,鍾釜
鐘溺,鍾溺
鐘靈,鍾靈
鐘會,鍾會
鐘情,鍾情
鐘山,鍾山
鐘嶸,鍾嶸
鐘子期,鍾子期
鐘愛,鍾愛
鐘儀,鍾儀
萬鐘,萬鍾
分鍾,分鐘
鍾表,鐘錶
擺鍾,擺鐘
編鍾,編鐘
碰鍾,碰鐘
鳴鍾,鳴鐘
晨鍾,晨鐘
打卡鍾,打卡鐘
打鍾,打鐘
鍾擺,鐘擺
盜鍾,盜鐘
點鍾,點鐘
電子鍾,電子鐘
時鍾,時鐘
鬧鍾,鬧鐘
撞鍾,撞鐘
秒鍾,秒鐘
亮鍾,亮鐘
掛鍾,掛鐘
空鍾,空鐘
黃鍾,黃鐘
毀鍾為鐸,毀鐘為鐸
洪鍾,洪鐘
擊鍾,擊鐘
金鍾,金鐘
警鍾,警鐘
潛水鍾,潛水鐘
竊鍾,竊鐘
琴鍾,琴鐘
朝鍾,朝鐘
木鍾,木鐘
鍾鳴,鐘鳴
鍾點,鐘點
鍾鼎,鐘鼎
鍾塔,鐘塔
鍾頭,鐘頭
鍾樓,鐘樓
鍾漏,鐘漏
鍾乳,鐘乳
石鍾,石鐘
坐鍾,坐鐘
喪鍾,喪鐘
原子鍾,原子鐘
手表,手錶
看表,看錶
錶面,表面
硬件,硬體
軟件,軟體
舍不得,捨不得
舍得,捨得
割舍,割捨
不舍,不捨
公裏,公里
公裡,公里
千裡,千里
萬裡,萬里
誌氣,志氣
采取,採取
肮髒,骯髒
掙紮,掙扎
平複,平復
讚成,贊成
灰蒙蒙,灰濛濛
向往,嚮往
豪無,毫無
秋千,鞦韆
征兆,徵兆
製度,制度
控製,控制
進製,進制
時製,時制
分製,分制
班製,班制
責任製,責任制
代表製,代表制
製裁,制裁
幣製,幣制
標準製,標準制
編製,編制
兵製,兵制
審製,審制
管製,管制
法製,法制
服製,服制
製服,制服
婚製,婚制
管製,管制
抵製,抵制
帝製,帝制
典製,典制
反製,反制
分級製,分級制
黨製,黨制
體製,體制
統製,統制
製勝,制勝
改製,改制
古製,古制
官製,官制
公製,公制
限製,限制
克製,克制
機製,機制
節製,節制
禁製,禁制
軍製,軍制
強製,強制
牽製,牽制
挾製,挾制
製人,制人
學製,學制
製定,制定
製敵,制敵
製動,制動
製空,制空
製高點,制高點
製憲,制憲
製裁,制裁
製勝,制勝
創製,創制
選製,選制
妻製,妻制
兩製,兩制
製暴,制暴
製制宜,制宜
英製,英制
壓製,壓制
不采,不採
盜采,盜採
采買,採買
采訪,採訪
采納,採納
采蓮,採蓮
采購,採購
采光,採光
采礦,採礦
采花,採花
采集,採集
采擷,採擷
采取,採取
采信,採信
采摘,採摘
采茶,採茶
采種,採種
采拾,採拾
采收,採收
采藥,採藥
采用,採用
仿佛,彷彿
人雲亦雲,人云亦云
雲雲,云云
&amp;#8231;,•
&amp;#8226;,•
係列,系列
系著,繋著
宇航員,太空人
塑料,塑膠
盈余,盈餘
有余,有餘
余地,餘地
余力,餘力
富余,富餘
多余,多餘
之余,之餘
余墨,餘墨
余澤,餘澤
公余,公餘
余生,餘生
余燼,餘燼
其余,其餘
余暉,餘暉
余慶,餘慶
寬余,寬餘
心余,心餘
茶余,茶餘
廚余,廚餘
殘余,殘餘
余孽,餘孽
無余,無餘
余烈,餘烈
余澤,餘澤
業余,業餘
余波,餘波
余光,餘光
余糧,餘糧
余悸,餘悸
余閒,餘閒
一只,一隻
比幹,比干
不幹己,不干己
相幹,相干
欄幹,欄干
幹戈,干戈
豆幹,豆干
天幹,天干
幹貝,干貝
幹犯,干犯
幹祿,干祿
幹將,干將
幹卿,干卿
幹涉,干涉
幹擾,干擾
何幹,何干
幹雲,干雲
幹預,干預
幹政,干政
幹休,干休
若幹,若干
烏幹達,烏干達
無幹,無干
意誌,意志
得誌,得志
誌氣,志氣
明誌,明志
方誌,方志
方言誌,方言志
同誌,同志
誌同,志同
誌願,志願
篤誌,篤志
通誌,通志
立誌,立志
勵誌,勵志
其誌,其志
鬥誌,鬥志
圖誌,圖志
壯誌,壯志
胡誌明,胡志明
大誌,大志
之誌,之志
誌得,志得
誌定,志定
誌驕,志驕
革誌,革志
徐誌摩,徐志摩
致誌,致志
誌大,志大
誌高,志高
誌趣,志趣
誌氣,志氣
誌工,志工
誌向,志向
誌士,志士
誌願,志願
誌業,志業
眾誌,眾志
滿誌,滿志
二誌,二志
矢誌,矢志
神誌,神志
誌短,志短
銳誌,銳志
喪誌,喪志
遺誌,遺志
雜志,雜誌
標志,標誌
征收,徵收
表征,表徵
變征,變徵
病征,病徵
旁征,旁徵
性征,性徵
特征,特徵
停征,停徵
納征,納徵
課征,課徵
開征,開徵
象征,象徵
征稅,徵稅
征兵,徵兵
征聘,徵聘
征募,徵募
征稿,徵稿
征購,徵購
征婚,徵婚
征集,徵集
征求,徵求
征信,徵信
征選,徵選
征召,徵召
征詢,徵詢
征兆,徵兆
征才,徵才
征友,徵友
征文,徵文
征用,徵用
應征,應徵
魏征,魏徵
文征明,文徵明
征得,徵得
戰栗,顫慄
戰粟,顫慄
而栗,而慄
寒栗,寒慄
英裡,英里
千裡,千里
萬裡,萬里
煙鬥,煙斗
升鬥,升斗
鬥蓬,斗蓬
曬幹,曬乾
卷進,捲進
卷起,捲起
卷入,捲入
劃到,划到
劃過,划過
劃經,划經
劃槳,划槳
劃呀,划呀
合并,合併
人蹟,人跡
蹟象,跡像
匿蹟,匿跡
鬆嶺,松嶺
于是,於是
由于,由於
屬于,屬於
關于,關於
至于,至於
起航,啟航
週詳,周詳
反復,反覆
嶽父,岳父
嶽母,岳母
嶽丈,岳丈
意大利,義大利
美圓,美元
象是,像是
好象,好像
不象,不像
竟象,竟像
有點象,有點像
真是象,真是像
反老還童,返老還童
報複,報復
複燃,復燃
複活,復活
複生,復生
平複,平復
複興,復興
反複,反復
複國,復國
複明,復明
複辟,復辟
複命,復命
複發,復發
複蹈,復蹈
複旦,復旦
複讀,復讀
複禮,復禮
複古,復古
複工,復工
複刊,復刊
複婚,復婚
複籍,復籍
複交,復交
複舊,復舊
複健,復健
複權,復權
複習,復習
複信,復信
複姓,復姓
複學,復學
複職,復職
複政,復政
複仇,復仇
